resource,role,role description,first name,last name,prefix,initials,title,organisation,email,orcid,homepage,photo,expertise
FORCE-NEN,"Primary contact,Project manager",,Ollie,Ross,,OR,ir.,UMCU,ollie.ross@paintings.eu,0000-0033-1119-366,https://en.wikipedia.org/wiki/Bob_Ross,,Waiting
GECKO,,,Bob,Ross,,BR,dr.,,bob.ross@paintings.eu,0000-0033-1119-366,https://en.wikipedia.org/wiki/Bob_Ross,,Painting
GenR,Principal Investigator,,Bob,Ross,,BR,dr.,EMC,bob.ross@paintings.eu,0000-0033-1119-366,https://en.wikipedia.org/wiki/Bob_Ross,,Painting
GenR,Data manager,,Ollie,Ross,,OR,ir.,EMC,ollie.ross@paintings.eu,0000-0033-1119-366,https://en.wikipedia.org/wiki/Bob_Ross,,Waiting
GenR Next,Data manager,,Bob,Ross,,BR,dr.,EMC,bob.ross@paintings.eu,0000-0033-1119-366,https://en.wikipedia.org/wiki/Bob_Ross,,Painting
GenR Next,Principal Investigator,,Ollie,Ross,,OR,ir.,EMC,ollie.ross@paintings.eu,0000-0033-1119-366,https://en.wikipedia.org/wiki/Bob_Ross,,Waiting
HPV,Project manager,,Bob,Ross,,BR,dr.,TUNI,bob.ross@paintings.eu,0000-0033-1119-366,https://en.wikipedia.org/wiki/Bob_Ross,,Painting
HPV,Principal Investigator,,Jack,Ross,,JR,prof.,TUNI,jack.ross@paintings.eu,0000-0033-1119-366,https://en.wikipedia.org/wiki/Bob_Ross,,Carpenting
HPV,Principal Investigator,,Ollie,Ross,,OR,ir.,UOULU,ollie.ross@paintings.eu,0000-0033-1119-366,https://en.wikipedia.org/wiki/Bob_Ross,,Waiting
INMA,,,Bob,Ross,,BR,dr.,,bob.ross@paintings.eu,0000-0033-1119-366,https://en.wikipedia.org/wiki/Bob_Ross,,Painting
KANC,Primary contact,,Bob,Ross,,BR,dr.,,bob.ross@paintings.eu,0000-0033-1119-366,https://en.wikipedia.org/wiki/Bob_Ross,,Painting
LifeCycle,Project manager,,Bob,Ross,,BR,dr.,EMC,bob.ross@paintings.eu,0000-0033-1119-366,https://en.wikipedia.org/wiki/Bob_Ross,,Painting
LongITools,,,Ollie,Ross,,OR,ir.,UOULU,ollie.ross@paintings.eu,0000-0033-1119-366,https://en.wikipedia.org/wiki/Bob_Ross,,Waiting
LongITools,,,Bob,Ross,,BR,dr.,UOULU,bob.ross@paintings.eu,0000-0033-1119-366,https://en.wikipedia.org/wiki/Bob_Ross,,Painting
LSC,"Primary contact,Project manager",,Bob,Ross,,BR,dr.,UIBK,bob.ross@paintings.eu,0000-0033-1119-366,https://en.wikipedia.org/wiki/Bob_Ross,,Painting
LSC,Principal Investigator,,Jack,Ross,,JR,prof.,UIBK,jack.ross@paintings.eu,0000-0033-1119-366,https://en.wikipedia.org/wiki/Bob_Ross,,Carpenting
MAT,Project manager,,Bob,Ross,,BR,dr.,UOULU,bob.ross@paintings.eu,0000-0033-1119-366,https://en.wikipedia.org/wiki/Bob_Ross,,Painting
MAT,"Project manager,Principal Investigator",,Jack,Ross,,JR,prof.,UOULU,jack.ross@paintings.eu,0000-0033-1119-366,https://en.wikipedia.org/wiki/Bob_Ross,,Carpenting
MAT,"Project manager,Principal Investigator",,Ollie,Ross,,OR,ir.,UOULU,ollie.ross@paintings.eu,0000-0033-1119-366,https://en.wikipedia.org/wiki/Bob_Ross,,Waiting
MoBa,,,Bob,Ross,,BR,dr.,,bob.ross@paintings.eu,0000-0033-1119-366,https://en.wikipedia.org/wiki/Bob_Ross,,Painting
NFBC1966,,,Bob,Ross,,BR,dr.,,bob.ross@paintings.eu,0000-0033-1119-366,https://en.wikipedia.org/wiki/Bob_Ross,,Painting
NOMA,,,Bob,Ross,,BR,dr.,,bob.ross@paintings.eu,0000-0033-1119-366,https://en.wikipedia.org/wiki/Bob_Ross,,Painting
PELAGIE,Primary contact,,Bob,Ross,,BR,dr.,INSERM,bob.ross@paintings.eu,0000-0033-1119-366,https://en.wikipedia.org/wiki/Bob_Ross,,Painting
PELAGIE,Primary contact,,Jack,Ross,,JR,prof.,INSERM,jack.ross@paintings.eu,0000-0033-1119-366,https://en.wikipedia.org/wiki/Bob_Ross,,Carpenting
RS1,Principal Investigator,,Bob,Ross,,BR,dr.,,bob.ross@paintings.eu,0000-0033-1119-366,https://en.wikipedia.org/wiki/Bob_Ross,,Painting
RS2,Principal Investigator,,Bob,Ross,,BR,dr.,,bob.ross@paintings.eu,0000-0033-1119-366,https://en.wikipedia.org/wiki/Bob_Ross,,Painting
RS3,Principal Investigator,,Bob,Ross,,BR,dr.,,bob.ross@paintings.eu,0000-0033-1119-366,https://en.wikipedia.org/wiki/Bob_Ross,,Painting
Sepages,Primary contact,,Bob,Ross,,BR,dr.,INSERM,bob.ross@paintings.eu,0000-0033-1119-366,https://en.wikipedia.org/wiki/Bob_Ross,,Painting
SYSDIMET,,,Bob,Ross,,BR,dr.,,bob.ross@paintings.eu,0000-0033-1119-366,https://en.wikipedia.org/wiki/Bob_Ross,,Painting
WDC,Project manager,,Bob,Ross,,BR,dr.,TUNI,bob.ross@paintings.eu,0000-0033-1119-366,https://en.wikipedia.org/wiki/Bob_Ross,,Painting
WDC,Principal Investigator,,Jack,Ross,,JR,prof.,UOULU,jack.ross@paintings.eu,0000-0033-1119-366,https://en.wikipedia.org/wiki/Bob_Ross,,Carpenting
WDC,Principal Investigator,,Ollie,Ross,,OR,ir.,TUNI,ollie.ross@paintings.eu,0000-0033-1119-366,https://en.wikipedia.org/wiki/Bob_Ross,,Waiting
