resource,role,role description,first name,last name,display name,prefix,initials,title,organisation,email,orcid,homepage,photo,photo_filename,expertise,mg_draft
MAT,Project manager,,Rob,Boss,Rob Boss,,BR,dr.,UOULU,rob.boss@paintings.eu,0000-0033-1119-366,https://en.wikipedia.org/wiki/Rob_Boss,,,Painting,
MAT,"Project manager,Principal Investigator",,Jack,Ross,Jack Ross,,JR,prof.,UOULU,jack.ross@paintings.eu,0000-0033-1119-366,https://en.wikipedia.org/wiki/Rob_Boss,,,Carpenting,
INMA,,,Rob,Boss,Rob Boss,,BR,dr.,,rob.boss@paintings.eu,0000-0033-1119-366,https://en.wikipedia.org/wiki/Rob_Boss,,,Painting,
MAT,"Project manager,Principal Investigator",,Ollie,Ross,Ollie Ross,,OR,ir.,UOULU,ollie.ross@paintings.eu,0000-0033-1119-366,https://en.wikipedia.org/wiki/Rob_Boss,,,Waiting,
NOMA,,,Rob,Boss,Rob Boss,,BR,dr.,,rob.boss@paintings.eu,0000-0033-1119-366,https://en.wikipedia.org/wiki/Rob_Boss,,,Painting,
RS1,Principal Investigator,,Rob,Boss,Rob Boss,,BR,dr.,,rob.boss@paintings.eu,0000-0033-1119-366,https://en.wikipedia.org/wiki/Rob_Boss,,,Painting,
RS2,Principal Investigator,,Rob,Boss,Rob Boss,,BR,dr.,,rob.boss@paintings.eu,0000-0033-1119-366,https://en.wikipedia.org/wiki/Rob_Boss,,,Painting,
RS3,Principal Investigator,,Rob,Boss,Rob Boss,,BR,dr.,,rob.boss@paintings.eu,0000-0033-1119-366,https://en.wikipedia.org/wiki/Rob_Boss,,,Painting,
Sepages,Primary contact,,Rob,Boss,Rob Boss,,BR,dr.,INSERM,rob.boss@paintings.eu,0000-0033-1119-366,https://en.wikipedia.org/wiki/Rob_Boss,,,Painting,
SYSDIMET,,,Rob,Boss,Rob Boss,,BR,dr.,,rob.boss@paintings.eu,0000-0033-1119-366,https://en.wikipedia.org/wiki/Rob_Boss,,,Painting,
WDC,Project manager,,Rob,Boss,Rob Boss,,BR,dr.,TUNI,rob.boss@paintings.eu,0000-0033-1119-366,https://en.wikipedia.org/wiki/Rob_Boss,,,Painting,
WDC,Principal Investigator,,Jack,Ross,Jack Ross,,JR,prof.,UOULU,jack.ross@paintings.eu,0000-0033-1119-366,https://en.wikipedia.org/wiki/Rob_Boss,,,Carpenting,
WDC,Principal Investigator,,Ollie,Ross,Ollie Ross,,OR,ir.,TUNI,ollie.ross@paintings.eu,0000-0033-1119-366,https://en.wikipedia.org/wiki/Rob_Boss,,,Waiting,
testCohort2,Alternative contact,test alternative contact for cohort 2,cohort2alternativefirst,cohort2alternativelast,cohort2alternativefirst cohort2alternativelast,surname prefix,A.L.T.E.R.,dr.,test lead organisation 2,testemailalternative@testdomain.nl,testorcid,https://kanariepiet.com,,,test expertise for alternative contact,
mtFIT study,Primary contact,,Rob,Boss,Rob Boss,,,,,rob.boss@paintings.eu,,,,,,
DFBC,Primary contact,,Rob,Boss,Rob Boss,,,,,rob.boss@paintings.eu,,,,,,
ENVIRONAGE,Primary contact,,Rob,Boss,Rob Boss,,,,,rob.boss@paintings.eu,,,,,,
testCohort3,Primary contact,,Rob,Boss,Rob Boss,,,,,rob.boss@paintings.eu,,,,,,
ABCD,Primary contact,,Rob,Boss,Rob Boss,,BR,dr.,,rob.boss@paintings.eu,0000-0033-1119-366,https://en.wikipedia.org/wiki/Rob_Boss,,,Painting,
ALSPAC,Principal Investigator,,Rob,Boss,Rob Boss,,BR,dr.,,rob.boss@paintings.eu,0000-0033-1119-366,https://en.wikipedia.org/wiki/Rob_Boss,,,Painting,
ALSPAC,Primary contact,,Jack,Ross,Jack Ross,,JR,prof.,,jack.ross@paintings.eu,0000-0033-1119-366,https://en.wikipedia.org/wiki/Rob_Boss,,,Carpenting,
testCohort1,"Principal Investigator,Project manager",Test description of PI/PM role,PIPM,last name PIPM,PIPM last name PIPM,surname prefix,P.I.P.M.,dr. ir.,Test lead organisation 1,pipm@testdomain.nl,test orcid,https://kanariepiet.com,d11622fcde214ade936ce9ef80e8914d,29a0c789813341a39adf09022577c44c.jpg,test expertise,false
ALSPAC,Data manager,,Ollie,Ross,Ollie Ross,,OR,ir.,,ollie.ross@paintings.eu,0000-0033-1119-366,https://en.wikipedia.org/wiki/Rob_Boss,,,Waiting,
BIB,Data manager,,Rob,Boss,Rob Boss,,BR,dr.,BRI,rob.boss@paintings.eu,0000-0033-1119-366,https://en.wikipedia.org/wiki/Rob_Boss,,,Painting,
CELSPAC-TNG,Data manager,,Rob,Boss,Rob Boss,,BR,dr.,,rob.boss@paintings.eu,0000-0033-1119-366,https://en.wikipedia.org/wiki/Rob_Boss,,,Painting,
BAMSE,Primary contact,,Rob,Boss,Rob Boss,,,,,rob.boss@paintings.eu,,,,,,
SAPALDIA,Primary contact,,Rob,Boss,Rob Boss,,,,,rob.boss@paintings.eu,,,,,,
testCohort4,Primary contact,,Rob,Boss,Rob Boss,,,,,rob.boss@paintings.eu,,,,,,
DHL,Primary contact,,Rob,Boss,Rob Boss,,,,,rob.boss@paintings.eu,,,,,,
testNetwork2,Primary contact,,Rob,Boss,Rob Boss,,,,,rob.boss@paintings.eu,,,,,,
testNetworkofNetworks,Primary contact,,Rob,Boss,Rob Boss,,,,,rob.boss@paintings.eu,,,,,,
HELIX,Primary contact,,Rob,Boss,Rob Boss,,,,,rob.boss@paintings.eu,,,,,,
testNetwork1,Primary contact,,Rob,Boss,Rob Boss,,,,,rob.boss@paintings.eu,,,,,,
G21,Primary contact,,Rob,Boss,Rob Boss,,,,,rob.boss@paintings.eu,,,,,,
mCRC-VHIO,Primary contact,,Rob,Boss,Rob Boss,,,,,rob.boss@paintings.eu,,,,,,
FORCE-NEN collections,Primary contact,,Rob,Boss,Rob Boss,,,,,rob.boss@paintings.eu,,,,,,
HBCS,Primary contact,,Rob,Boss,Rob Boss,,,,,rob.boss@paintings.eu,,,,,,
IPF,Primary contact,,Rob,Boss,Rob Boss,,,,,rob.boss@paintings.eu,,,,,,
NBC1967-1976,Primary contact,,Rob,Boss,Rob Boss,,,,,rob.boss@paintings.eu,,,,,,
SWS,Primary contact,,Rob,Boss,Rob Boss,,,,,rob.boss@paintings.eu,,,,,,
Immune-Image_Task_6.2a,Primary contact,,Rob,Boss,Rob Boss,,,,,rob.boss@paintings.eu,,,,,,
RAINE,Primary contact,,Rob,Boss,Rob Boss,,,,,rob.boss@paintings.eu,,,,,,
LEMS,Primary contact,,Rob,Boss,Rob Boss,,,,,rob.boss@paintings.eu,,,,,,
NFBC1986,Primary contact,,Rob,Boss,Rob Boss,,,,,rob.boss@paintings.eu,,,,,,
CRC-Cohort,Primary contact,,Rob,Boss,Rob Boss,,,,,rob.boss@paintings.eu,,,,,,
NFBC1966 G0,Primary contact,,Rob,Boss,Rob Boss,,,,,rob.boss@paintings.eu,,,,,,
FinnGeDi,Primary contact,,Rob,Boss,Rob Boss,,,,,rob.boss@paintings.eu,,,,,,
FEIBA-GO,Primary contact,,Rob,Boss,Rob Boss,,,,,rob.boss@paintings.eu,,,,,,
Immune-Image_Task_6.2b,Primary contact,,Rob,Boss,Rob Boss,,,,,rob.boss@paintings.eu,,,,,,
Immune-Image_Task_6.3,Primary contact,,Rob,Boss,Rob Boss,,,,,rob.boss@paintings.eu,,,,,,
PANIC,Primary contact,,Rob,Boss,Rob Boss,,,,,rob.boss@paintings.eu,,,,,,
ELSPAC,Primary contact,,Rob,Boss,Rob Boss,,,,,rob.boss@paintings.eu,,,,,,
ARISE,Primary contact,,Rob,Boss,Rob Boss,,,,,rob.boss@paintings.eu,,,,,,
EUChildNetwork,Primary contact,,Rob,Boss,Rob Boss,,,,,rob.boss@paintings.eu,,,,,,
OOM,Primary contact,,Rob,Boss,Rob Boss,,,,,rob.boss@paintings.eu,,,,,,
INSPECT,Primary contact,,Rob,Boss,Rob Boss,,,,,rob.boss@paintings.eu,,,,,,
LEONARDO,Primary contact,,Rob,Boss,Rob Boss,,,,,rob.boss@paintings.eu,,,,,,
ANAGRAFICA,Primary contact,,Rob,Boss,Rob Boss,,,,,rob.boss@paintings.eu,,,,,,
ATHLETE,Primary contact,,Rob,Boss,Rob Boss,,,,,rob.boss@paintings.eu,,,,,,
IPEC,Primary contact,,Rob,Boss,Rob Boss,,,,,rob.boss@paintings.eu,,,,,,
ADVANCE Coverage POC,Primary contact,,Rob,Boss,Rob Boss,,,,,rob.boss@paintings.eu,,,,,,
DRIVE 2019/20,Primary contact,,Rob,Boss,Rob Boss,,,,,rob.boss@paintings.eu,,,,,,
PASS,Primary contact,,Rob,Boss,Rob Boss,,,,,rob.boss@paintings.eu,,,,,,
DAHLIA,Primary contact,,Rob,Boss,Rob Boss,,,,,rob.boss@paintings.eu,,,,,,
FinACAF,Primary contact,,Rob,Boss,Rob Boss,,,,,rob.boss@paintings.eu,,,,,,
OPTI,Primary contact,,Rob,Boss,Rob Boss,,,,,rob.boss@paintings.eu,,,,,,
ACCESS,Primary contact,,Rob,Boss,Rob Boss,,,,,rob.boss@paintings.eu,,,,,,
THALIA,Primary contact,,Rob,Boss,Rob Boss,,,,,rob.boss@paintings.eu,,,,,,
PERSEUS,Primary contact,,Rob,Boss,Rob Boss,,,,,rob.boss@paintings.eu,,,,,,
SSc-ILD,Primary contact,,Rob,Boss,Rob Boss,,,,,rob.boss@paintings.eu,,,,,,
MoBa,,,Rob,Boss,Rob Boss,,BR,dr.,,rob.boss@paintings.eu,0000-0033-1119-366,https://en.wikipedia.org/wiki/Rob_Boss,,,Painting,
EXE,Primary contact,,Rob,Boss,Rob Boss,,,,,rob.boss@paintings.eu,,,,,,
PHT,Primary contact,,Rob,Boss,Rob Boss,,,,,rob.boss@paintings.eu,,,,,,
COD_FARMACI_SPF,Primary contact,,Rob,Boss,Rob Boss,,,,,rob.boss@paintings.eu,,,,,,
SPECIALISTICA,Primary contact,,Rob,Boss,Rob Boss,,,,,rob.boss@paintings.eu,,,,,,
SEA,Primary contact,,Rob,Boss,Rob Boss,,,,,rob.boss@paintings.eu,,,,,,
AP,Primary contact,,Rob,Boss,Rob Boss,,,,,rob.boss@paintings.eu,,,,,,
ARS_ANAG_MED_RES_storico,Primary contact,,Rob,Boss,Rob Boss,,,,,rob.boss@paintings.eu,,,,,,
ARS_PS,Primary contact,,Rob,Boss,Rob Boss,,,,,rob.boss@paintings.eu,,,,,,
RMR,Primary contact,,Rob,Boss,Rob Boss,,,,,rob.boss@paintings.eu,,,,,,
EFEMERIS_PRESCRIPTION,Primary contact,,Rob,Boss,Rob Boss,,,,,rob.boss@paintings.eu,,,,,,
FARMACEUTICA,Primary contact,,Rob,Boss,Rob Boss,,,,,rob.boss@paintings.eu,,,,,,
VCN,Primary contact,,Rob,Boss,Rob Boss,,,,,rob.boss@paintings.eu,,,,,,
DIAGNOSTIC,Primary contact,,Rob,Boss,Rob Boss,,,,,rob.boss@paintings.eu,,,,,,
SPF,Primary contact,,Rob,Boss,Rob Boss,,,,,rob.boss@paintings.eu,,,,,,
MBRN,Primary contact,,Rob,Boss,Rob Boss,,,,,rob.boss@paintings.eu,,,,,,
SALM,Primary contact,,Rob,Boss,Rob Boss,,,,,rob.boss@paintings.eu,,,,,,
SPA,Primary contact,,Rob,Boss,Rob Boss,,,,,rob.boss@paintings.eu,,,,,,
AVOHILMO,Primary contact,,Rob,Boss,Rob Boss,,,,,rob.boss@paintings.eu,,,,,,
ABL,Primary contact,,Rob,Boss,Rob Boss,,,,,rob.boss@paintings.eu,,,,,,
EUROCAT NNL,Primary contact,,Rob,Boss,Rob Boss,,,,,rob.boss@paintings.eu,,,,,,
TestDataSourceID,Primary contact,,Rob,Boss,Rob Boss,,,,,rob.boss@paintings.eu,,,,,,
CON,Principal Investigator,,Rob,Boss,Rob Boss,,BR,dr.,SSI,rob.boss@paintings.eu,0000-0033-1119-366,https://en.wikipedia.org/wiki/Rob_Boss,,,Painting,
CONSTANCES,Project manager,,Rob,Boss,Rob Boss,,BR,dr.,,rob.boss@paintings.eu,0000-0033-1119-366,https://en.wikipedia.org/wiki/Rob_Boss,,,Painting,
CSC,Data manager,,Rob,Boss,Rob Boss,,BR,dr.,,rob.boss@paintings.eu,0000-0033-1119-366,https://en.wikipedia.org/wiki/Rob_Boss,,,Painting,
CSC,"Principal Investigator,Primary contact",,Jack,Ross,Jack Ross,,JR,prof.,,jack.ross@paintings.eu,0000-0033-1119-366,https://en.wikipedia.org/wiki/Rob_Boss,,,Carpenting,
CSC,,,Ollie,Ross,Ollie Ross,,OR,ir.,,ollie.ross@paintings.eu,0000-0033-1119-366,https://en.wikipedia.org/wiki/Rob_Boss,,,Waiting,
DNBC,Project manager,,Rob,Boss,Rob Boss,,BR,dr.,,rob.boss@paintings.eu,0000-0033-1119-366,https://en.wikipedia.org/wiki/Rob_Boss,,,Painting,
EDEN,Principal Investigator,,Rob,Boss,Rob Boss,,BR,dr.,,rob.boss@paintings.eu,0000-0033-1119-366,https://en.wikipedia.org/wiki/Rob_Boss,,,Painting,
ELFE,Project manager,,Rob,Boss,Rob Boss,,BR,dr.,,rob.boss@paintings.eu,0000-0033-1119-366,https://en.wikipedia.org/wiki/Rob_Boss,,,Painting,
FEF,Project manager,,Rob,Boss,Rob Boss,,BR,dr.,,rob.boss@paintings.eu,0000-0033-1119-366,https://en.wikipedia.org/wiki/Rob_Boss,,,Painting,
PELAGIE,Primary contact,,Rob,Boss,Rob Boss,,BR,dr.,INSERM,rob.boss@paintings.eu,0000-0033-1119-366,https://en.wikipedia.org/wiki/Rob_Boss,,,Painting,
PELAGIE,Primary contact,,Jack,Ross,Jack Ross,,JR,prof.,INSERM,jack.ross@paintings.eu,0000-0033-1119-366,https://en.wikipedia.org/wiki/Rob_Boss,,,Carpenting,
PSYCONN,Primary contact,,Rob,Boss,Rob Boss,,,,,rob.boss@paintings.eu,,,,,,
UMCG,"Principal Investigator,Primary contact",boss person,Rob,Boss,Rob Boss,van der,B.U.M.C.G.,prof. dr. ir.,,umcg@example.org,,,,,
testUMC,"Principal Investigator,Primary contact",leader,Rob,Boss,Rob Boss,,,,,tumc@example.org,,,,,
